customerID,tenure,MonthlyCharges,Contract,Churn
1862-QRWPE,48,20.65,Two year,No
2796-NNUFI,46,19.95,Two year,No
3016-KSVCP,29,33.75,Month-to-month,No
4767-HZZHQ,30,82.05,Month-to-month,No
2424-WVHPL,1,74.7,Month-to-month,No
7233-PAHHL,66,84.0,Two year,No
6067-NGCEU,65,111.05,Month-to-month,No
9848-JQJTX,72,100.9,Two year,No
8637-XJIVR,12,78.95,Month-to-month,Yes
9803-FTJCG,71,66.85,One year,No
0278-YXOOG,5,21.05,Month-to-month,Yes
3212-KXOCR,52,21.0,Two year,No
4598-XLKNJ,25,98.5,Month-to-month,Yes
6380-ARCEH,1,20.2,Month-to-month,No
3679-XASPY,1,19.45,Month-to-month,No
7123-WQUHX,38,95.0,One year,No
5386-THSLQ,66,45.55,One year,No
3192-NQECA,68,110.0,Two year,Yes
6180-YBIQI,5,24.3,Month-to-month,No
6728-DKUCO,72,104.15,One year,No
9750-BOOHV,32,30.15,One year,No
8597-CWYHH,43,94.35,One year,No
2848-YXSMW,72,19.4,Two year,No
0486-HECZI,55,96.75,Month-to-month,Yes
4549-ZDQYY,52,57.95,One year,No
5712-AHQNN,43,91.65,Month-to-month,No
4846-WHAFZ,37,76.5,Month-to-month,Yes
5256-SKJGO,64,54.6,Two year,No
3071-VBYPO,3,89.85,Month-to-month,No
9560-BBZXK,36,31.05,Two year,No
5299-RULOA,10,100.25,Month-to-month,Yes
8402-OOOHJ,41,20.65,Two year,No
9445-ZUEQE,27,85.2,Month-to-month,No
1091-SOZGA,56,99.8,One year,No
2928-HLDBA,6,20.7,Month-to-month,No
0404-SWRVG,3,74.4,Month-to-month,Yes
6497-TILVL,7,50.7,Month-to-month,No
7219-TLZHO,4,20.85,Month-to-month,No
4622-YNKIJ,33,88.95,Two year,No
4412-YLTKF,27,78.05,Month-to-month,Yes
6734-PSBAW,72,23.55,Two year,No
3930-ZGWVE,1,19.75,Month-to-month,No
2639-UGMAZ,71,56.45,One year,No
2876-GZYZC,13,85.95,Month-to-month,No
6207-WIOLX,25,58.6,Month-to-month,Yes
8587-XYZSF,67,50.55,Two year,No
3091-FYHKI,1,35.45,Month-to-month,Yes
2372-HWUHI,2,44.35,Month-to-month,Yes
7799-LGRDP,43,25.7,Two year,No
7850-VWJUU,23,75.0,Month-to-month,No
3774-VBNXY,64,20.2,Two year,No
6217-KDYWC,57,19.6,Two year,No
0390-DCFDQ,1,70.45,Month-to-month,Yes
3146-MSEGF,72,88.05,Two year,No
4080-OGPJL,8,71.15,Month-to-month,Yes
1095-WGNGG,61,101.05,Two year,No
2636-SJDOU,64,84.3,One year,No
1131-QQZEB,71,23.95,Two year,No
5716-EZXZN,65,99.05,Two year,No
6837-BJYDQ,3,19.6,One year,No
2135-RXIHG,1,45.65,Month-to-month,Yes
6440-DKQGE,30,64.5,One year,No
3466-BYAVD,15,69.5,Month-to-month,No
3780-YVMFA,8,68.55,Month-to-month,No
3874-EQOEP,7,95.0,Month-to-month,Yes
1679-JRFBR,70,108.15,One year,No
9073-ZZIAY,62,86.1,Two year,No
3077-RSNTJ,6,19.7,Month-to-month,No
6551-GNYDG,14,80.9,Month-to-month,No
9167-APMXZ,22,84.15,Month-to-month,No
2749-CTKAJ,22,20.15,One year,No
6371-NZYEG,16,64.25,Two year,No
7554-NEWDD,10,25.7,Two year,No
8992-VONJD,13,56.0,Month-to-month,No
0867-MKZVY,20,82.4,Month-to-month,Yes
4482-EWFMI,2,69.7,Month-to-month,No
4648-YPBTM,53,73.9,Two year,No
2907-ILJBN,11,20.6,One year,No
6345-FZOQH,69,19.9,Two year,No
3376-BMGFE,4,70.9,Month-to-month,Yes
5997-OPVFA,72,89.05,Two year,No
3445-HXXGF,58,45.3,Month-to-month,Yes
1159-WFSGR,16,20.4,Month-to-month,No
7654-YWJUF,43,84.25,One year,No
1875-QIVME,2,104.4,Month-to-month,Yes
6727-IOTLZ,14,81.95,Two year,No
0691-JVSYA,53,94.85,One year,Yes
5918-VUKWP,32,20.55,One year,No
1744-JHKYS,34,24.7,Month-to-month,No
2656-FMOKZ,15,74.45,Month-to-month,Yes
2070-FNEXE,7,76.45,Month-to-month,Yes
5947-SGKCL,15,105.35,Month-to-month,No
3712-PKXZA,61,20.55,One year,No
6317-YPKDH,1,29.95,Month-to-month,Yes
6582-OIVSP,1,45.3,Month-to-month,No
9367-WXLCH,8,84.5,Month-to-month,Yes
5524-KHNJP,33,74.75,One year,No
1918-ZBFQJ,13,79.25,Month-to-month,Yes
1024-GUALD,1,24.8,Month-to-month,Yes
4827-USJHP,20,51.8,Month-to-month,No
8167-GJLRN,3,30.4,Month-to-month,No
0956-SYCWG,13,19.65,One year,No
8017-UVSZU,40,56.6,Month-to-month,No
7100-FQPRV,43,71.9,One year,No
2472-OVKUP,6,91.0,Month-to-month,Yes
2984-RGEYA,69,19.75,Two year,No
9680-NIAUV,72,109.7,Two year,No
2146-EGVDT,59,19.3,Two year,No
2604-IJPDU,20,96.55,Month-to-month,No
9178-JHUVJ,24,24.1,Two year,No
6168-YBYNP,59,111.35,Month-to-month,No
7255-SSFBC,72,112.25,Two year,No
3645-DEYGF,1,20.75,Month-to-month,No
9323-HGFWY,27,101.9,One year,No
8544-GOQSH,14,80.05,Month-to-month,No
3363-DTIVD,71,105.55,Two year,No
7018-WBJNK,13,78.3,Month-to-month,No
9142-KZXOP,44,68.85,Month-to-month,No
7674-YTAFD,33,79.95,One year,No
6348-SNFUS,72,55.45,Two year,No
1285-OKIPP,1,79.9,Month-to-month,Yes
7825-ECJRF,19,106.6,Month-to-month,Yes
1347-KTTTA,64,102.45,One year,No
7841-TZDMQ,2,46.0,Month-to-month,Yes
4195-NZGTA,1,25.25,Month-to-month,No
7157-SMCFK,61,19.75,Two year,No
4709-LKHYG,29,20.0,One year,No
2504-DSHIH,23,86.8,Month-to-month,No
0699-NDKJM,57,58.75,Month-to-month,No
9286-BHDQG,72,45.25,Two year,No
0230-WEQUW,66,56.6,Two year,No
2040-LDIWQ,65,84.2,Two year,No
6496-JDSSB,8,80.0,Month-to-month,No
9408-SSNVZ,4,70.15,Month-to-month,Yes
4443-EMBNA,71,24.75,Two year,No
6469-MRVET,1,20.2,One year,No
0742-MOABM,4,50.05,Month-to-month,Yes
5961-VUSRV,12,19.35,One year,No
6778-JFCMK,24,50.6,One year,No
6341-JVQGF,31,81.15,One year,No
2232-DMLXU,1,55.2,Month-to-month,Yes
4811-JBUVU,30,89.9,Month-to-month,No
0945-TSONX,47,85.3,Two year,No
2651-ZCBXV,54,108.0,Two year,No
3316-UWXUY,50,93.5,Month-to-month,No
8937-RDTHP,1,84.6,Month-to-month,Yes
7083-MIOPC,72,20.25,Two year,No
1984-GPTEH,29,25.15,Month-to-month,No
1251-KRREG,2,54.4,Month-to-month,Yes
0621-JFHOL,10,29.6,Two year,No
9903-LYSAB,18,73.15,Month-to-month,No
0094-OIFMO,11,95.0,Month-to-month,Yes
9227-UAQFT,16,19.75,Two year,No
7301-ABVAD,72,86.6,Two year,No
6614-FHDBO,72,109.2,Two year,No
7576-ASEJU,41,74.7,One year,No
9058-HRZSV,65,94.4,Month-to-month,No
4522-AKYLR,13,54.8,Month-to-month,No
0221-WMXNQ,4,75.35,Month-to-month,No
0303-UNCIP,41,65.0,One year,No
9947-OTFQU,15,74.4,Month-to-month,Yes
0322-YINQP,1,48.55,Month-to-month,Yes
0959-WHOKV,42,99.0,One year,No
4075-JFPGR,51,93.5,One year,No
4629-NRXKX,2,70.4,Month-to-month,Yes
9514-JDSKI,1,40.2,Month-to-month,Yes
3282-ZISZV,32,83.7,One year,No
3675-YDUPJ,10,19.85,Month-to-month,No
4111-BNXIF,67,59.55,Two year,No
7017-VFHAY,61,115.1,Two year,No
6655-LHBYW,50,114.35,One year,No
4959-JOSRX,2,44.6,Month-to-month,Yes
5046-NUHWD,29,45.0,Month-to-month,No
7273-TEFQD,3,41.15,Month-to-month,Yes
3606-TWKGI,13,106.9,Month-to-month,Yes
7529-ZDFXI,57,89.85,Month-to-month,No
7605-BDWDC,31,49.85,Two year,No
1950-KSVVJ,45,113.3,One year,No
0123-CRBRT,61,88.1,Two year,No
6292-TOSSS,50,24.9,Two year,No
3197-ARFOY,19,105.0,Month-to-month,No
6323-AYBRX,59,19.35,Two year,Yes
7014-ZZXAW,71,24.25,Two year,No
4385-GZQXV,16,94.45,Month-to-month,Yes
7633-MVPUY,57,59.75,Two year,No
6366-ZGQGL,1,24.8,Month-to-month,Yes
4716-HHKQH,20,107.05,Month-to-month,No
5940-AHUHD,1,70.6,Month-to-month,Yes
6432-TWQLB,5,85.4,Month-to-month,Yes
4484-GLZOU,52,105.05,Month-to-month,Yes
3179-GBRWV,21,64.95,Month-to-month,No
8645-KWHJO,14,55.0,Month-to-month,No
4130-MZLCC,5,50.55,Month-to-month,No
0314-TKOSI,6,55.15,Month-to-month,No
8229-MYEJZ,10,51.2,Month-to-month,No
2080-SRCDE,1,25.4,Month-to-month,No
9577-WJVCQ,68,54.45,Month-to-month,No
9512-UIBFX,18,95.15,Month-to-month,Yes
6202-DYYFX,22,76.0,One year,No
3808-HFKDE,20,44.35,Month-to-month,No
5583-SXDAG,1,70.0,Month-to-month,Yes
3488-PGMQJ,8,74.5,Month-to-month,Yes
3580-REOAC,10,44.85,Month-to-month,Yes
7534-BFESC,24,76.1,Month-to-month,Yes
3727-OWVYD,35,61.2,One year,No
2294-SALNE,23,86.8,One year,No
4847-TAJYI,6,89.35,Month-to-month,No
1563-IWQEX,12,19.7,Month-to-month,No
8203-XJZRC,1,20.25,Month-to-month,No
6556-DBKZF,71,76.05,Two year,No
6851-WEFYX,35,100.8,Month-to-month,No
2985-JUUBZ,40,74.55,Month-to-month,No
6390-DSAZX,1,73.6,Month-to-month,Yes
0895-LMRSF,23,64.9,One year,No
8098-LLAZX,4,95.45,Month-to-month,Yes
8266-VBFQL,4,90.4,Month-to-month,No
8181-YHCMF,68,60.3,Two year,No
2240-HSJQD,38,81.85,Month-to-month,No
1248-DYXUB,52,24.8,Two year,No
0265-EDXBD,32,74.9,Month-to-month,Yes
4115-BNPJY,29,75.55,Two year,No
3167-SNQPL,38,101.15,Month-to-month,No
4091-TVOCN,48,78.75,One year,No
1098-TDVUQ,1,19.25,Month-to-month,No
7277-OZCGZ,22,89.05,Month-to-month,No
1557-EMYVT,43,115.05,Two year,No
2799-ARNLO,5,69.35,Month-to-month,No
7563-BIUPC,5,80.6,Month-to-month,Yes
5027-YOCXN,51,110.05,One year,No
3973-SKMLN,71,19.9,Two year,No
2321-OMBXY,38,80.3,One year,Yes
2840-XANRC,24,93.15,Month-to-month,Yes
6745-JEFZB,35,91.5,Month-to-month,No
5020-ZSTTY,54,82.45,One year,Yes
9880-TDQAC,72,60.0,Two year,No
8705-WZCYL,1,44.8,Month-to-month,No
7102-JJVTX,9,48.6,One year,No
8626-PTQGE,69,60.05,Two year,No
4983-CLMLV,52,102.7,Month-to-month,No
5701-YVSVF,11,82.9,Month-to-month,No
5804-LEPIM,2,70.35,Month-to-month,Yes
5697-GOMBF,28,35.9,Month-to-month,No
2739-CACDQ,17,82.65,Month-to-month,No
9385-EHGDO,35,19.85,Two year,No
9498-FIMXL,8,19.2,One year,No
2379-GYFLQ,46,94.9,One year,No
0122-OAHPZ,7,73.85,Month-to-month,Yes
2868-SNELZ,2,80.6,Month-to-month,Yes
4322-RCYMT,68,75.8,One year,Yes
6680-NENYN,43,104.6,Two year,Yes
2088-IEBAU,68,88.15,Two year,No
7982-VCELR,36,94.8,Month-to-month,No
1343-EHPYB,63,103.4,Month-to-month,Yes
6035-BXTTY,32,54.65,Month-to-month,No
6885-PKOAM,71,85.75,Two year,No
7520-HQWJU,66,67.45,Month-to-month,No
9639-BUJXT,63,20.5,One year,No
5924-SNGKP,41,20.25,One year,No
0021-IKXGC,1,72.1,Month-to-month,No
2034-GDRCN,2,90.4,Month-to-month,Yes
8966-SNIZF,70,19.45,Two year,No
6243-OZGFH,23,44.95,Month-to-month,No
4654-DLAMQ,64,97.0,One year,No
0513-RBGPE,37,62.8,Two year,No
5160-UXJED,17,44.6,One year,No
4115-NZRKS,7,89.15,Month-to-month,No
0219-YTZUE,4,84.8,Month-to-month,Yes
0623-IIHUG,21,41.9,Month-to-month,Yes
4572-DVCGN,10,80.25,Month-to-month,Yes
3351-NGXYI,16,54.1,Month-to-month,No
8984-EYLLL,64,105.25,Two year,No
9057-MSWCO,27,30.75,Month-to-month,Yes
9833-TGFHX,42,97.1,One year,No
9294-TDIPC,5,20.2,Month-to-month,No
5229-DTFYB,41,98.8,Two year,No
0104-PPXDV,58,50.3,One year,No
5176-LMJXE,47,20.55,Two year,No
3583-KRKMD,18,75.9,Month-to-month,No
1010-DIAUQ,5,96.5,Month-to-month,Yes
9069-LGEUL,23,59.95,Month-to-month,No
7302-ZHMHP,1,19.15,Month-to-month,No
9571-EDEBV,71,98.65,One year,No
3520-FJGCV,72,112.6,Two year,No
6563-VRERX,33,20.6,One year,No
0259-GBZSH,2,85.65,Month-to-month,Yes
6122-EFVKN,24,35.75,Two year,No
2805-EDJPQ,56,99.75,One year,No
6862-CQUMB,37,96.1,Month-to-month,No
7156-MXBJE,43,85.1,One year,No
6158-HDPXZ,1,25.35,Month-to-month,No
9601-BRXPO,25,104.95,Month-to-month,Yes
2863-IMQDR,61,89.65,Two year,No
5686-CMAWK,17,86.75,One year,No
5651-CRHKQ,41,86.2,One year,No
6905-NIQIN,1,50.65,Month-to-month,Yes
8204-YJCLA,72,64.8,Two year,No
5167-ZFFMM,1,90.85,Month-to-month,Yes
6583-SZVGP,48,108.1,Two year,No
4895-TMWIR,11,19.95,Month-to-month,Yes
0533-BNWKF,55,85.45,Month-to-month,Yes
1708-PBBOA,42,54.75,One year,No
8782-LKFPK,44,90.4,Month-to-month,No
5522-JBWMO,1,44.0,Month-to-month,No
3597-MVHJT,27,95.6,Month-to-month,No
9774-NRNAU,27,84.8,Month-to-month,No
0224-RLWWD,2,44.3,Month-to-month,No
9967-ATRFS,19,19.9,Month-to-month,No
3951-NJCVI,42,95.05,Month-to-month,No
2977-CEBSX,66,90.05,Two year,No
0177-PXBAT,33,109.9,Month-to-month,No
6599-CEBNN,34,73.95,Month-to-month,Yes
2519-ERQOJ,33,54.6,Month-to-month,No
5876-QMYLD,23,20.05,One year,No
2277-AXSDC,32,19.75,One year,No
9442-JTWDL,11,20.05,One year,No
0979-PHULV,69,99.45,Month-to-month,Yes
3067-SVMTC,68,55.9,One year,No
5495-GPSRW,20,19.7,Two year,No
7606-BPHHN,72,19.8,Two year,No
4742-DRORA,60,95.4,One year,No
0111-KLBQG,32,93.95,Month-to-month,No
4800-VHZKI,1,19.9,Month-to-month,Yes
7989-CHGTL,1,19.6,Month-to-month,Yes
0334-GDDSO,3,81.35,Month-to-month,Yes
4163-NCJAK,46,24.45,One year,No
5233-AOZUF,29,74.95,Month-to-month,No
5973-EJGDP,51,87.35,Month-to-month,No
1996-DBMUS,48,70.65,Month-to-month,No
7916-VCCPB,16,73.25,Month-to-month,No
4686-GEFRM,70,98.7,Two year,No
5249-QYHEX,40,24.8,Two year,No
0578-SKVMF,22,83.3,Month-to-month,Yes
5564-NEMQO,1,75.3,Month-to-month,Yes
2233-FAGXV,5,24.3,Month-to-month,No
5605-IYGFG,7,69.85,Month-to-month,No
7663-ZTEGJ,29,100.55,One year,No
3935-TBRZZ,44,25.7,One year,No
8111-BKVDS,10,40.7,Month-to-month,No
2055-SIFSS,55,51.65,Month-to-month,No
2806-MLNTI,52,105.1,One year,No
8734-DKSTZ,10,85.95,Month-to-month,No
4360-PNRQB,18,75.6,Month-to-month,No
6152-ONASV,68,58.25,One year,No
9063-ZGTUY,61,19.4,Month-to-month,Yes
7781-HVGMK,72,65.2,Two year,No
2181-UAESM,2,53.45,Month-to-month,No
2957-LOLHO,12,45.4,Month-to-month,Yes
6048-NJXHX,41,19.75,Two year,No
2320-SLKMB,26,44.45,Month-to-month,No
4980-URKXC,36,20.85,One year,No
4376-KFVRS,72,114.05,Two year,No
5886-VLQVU,35,89.85,Month-to-month,No
3577-AMVUX,1,55.05,Month-to-month,No
0771-WLCLA,16,112.95,Month-to-month,No
5628-RKIFK,49,101.55,Month-to-month,No
0206-TBWLC,54,114.65,One year,No
2937-FTHUR,18,64.8,Month-to-month,No
1910-FMXJM,36,80.4,Month-to-month,No
7752-XUSCI,60,105.9,Month-to-month,Yes
4110-PFEUZ,1,69.55,Month-to-month,Yes
0732-OCQOC,52,25.05,Two year,No
5168-MSWXT,8,94.75,Month-to-month,No
1090-ESELR,72,105.5,Two year,No
8592-PLTMQ,64,24.7,One year,No
5760-WRAHC,22,69.75,Month-to-month,No
8847-GEOOQ,60,60.2,Month-to-month,No
0256-LTHVJ,28,81.05,Month-to-month,Yes
4785-FCIFB,61,24.4,Two year,No
8313-NDOIA,24,104.15,Month-to-month,No
5149-CUZUJ,28,92.9,One year,No
0942-KOWSM,30,80.8,Two year,No
4237-CLSMM,2,20.0,Month-to-month,No
1452-VOQCH,1,75.1,Month-to-month,No
4719-UMSIY,6,19.65,Month-to-month,No
6614-VBEGU,24,69.45,Month-to-month,No
0880-TKATG,4,101.15,Month-to-month,Yes
3811-VBYBZ,7,99.8,Month-to-month,Yes
1480-BKXGA,72,116.05,Two year,No
2996-XAUVF,70,40.05,Two year,No
9076-AXYIK,64,102.1,Two year,No
5968-XQIVE,72,89.7,One year,No
8896-RAZCR,44,19.9,Two year,No
4640-UHDOS,13,55.95,Month-to-month,Yes
4933-IKULF,17,20.65,One year,No
3583-EKAPL,1,55.0,Month-to-month,Yes
1304-BCCFO,9,70.05,Month-to-month,No
4104-PVRPS,24,53.6,Month-to-month,No
9399-APLBT,1,74.7,Month-to-month,Yes
2359-KMGLI,24,80.25,Month-to-month,Yes
3780-DDGSE,35,76.05,Month-to-month,No
4431-EDMIQ,7,75.7,Month-to-month,No
0306-JAELE,5,96.1,Month-to-month,Yes
6227-HWPWX,15,69.0,Month-to-month,Yes
0486-LGCCH,11,19.65,Two year,No
0447-BEMNG,48,45.3,Month-to-month,Yes
4612-SSVHJ,20,81.45,Month-to-month,No
5168-MQQCA,72,108.5,One year,No
5949-XIKAE,8,83.55,Month-to-month,Yes
7971-HLVXI,72,84.5,Two year,No
9094-AZPHK,15,100.15,Month-to-month,No
3649-JPUGY,72,88.6,Two year,No
4472-LVYGI,0,52.55,Two year,No
8372-JUXUI,1,74.35,Month-to-month,Yes
3552-CTCYF,63,104.8,Two year,No
6778-YSNIH,2,59.0,Month-to-month,No
0388-EOPEX,2,74.4,Month-to-month,Yes
5756-OZRIO,61,64.05,One year,No
6579-JPICP,1,20.4,Month-to-month,No
8205-OTCHB,22,43.75,One year,Yes
4134-BSXLX,28,60.9,Month-to-month,No
0505-SPOOW,70,19.8,Two year,No
6235-VDHOM,5,28.45,Month-to-month,Yes
7783-YKGDV,12,99.7,Month-to-month,Yes
4374-YMUSQ,34,116.25,One year,No
4513-CXYIX,71,80.7,Two year,No
3957-HHLMR,70,65.2,One year,No
7803-XOCCZ,52,84.05,Month-to-month,No
5736-YEJAX,69,79.45,Two year,No
5609-CEBID,20,94.1,Month-to-month,Yes
8981-FJGLA,11,78.0,Month-to-month,No
7218-HKQFK,2,94.2,Month-to-month,Yes
4636-QRJKY,6,80.5,Month-to-month,Yes
1135-LMECX,1,19.85,Month-to-month,No
4332-MUOEZ,20,94.3,One year,No
8535-SFUTN,61,106.45,Month-to-month,No
5956-VKDTT,5,74.35,Month-to-month,Yes
8677-HDZEE,56,105.45,Month-to-month,No
2475-MROZF,30,95.0,Month-to-month,No
9412-GHEEC,40,104.8,Month-to-month,Yes
3482-ABPKK,28,54.3,One year,No
6705-LXORM,5,70.05,Month-to-month,No
0257-ZESQC,27,75.2,Month-to-month,Yes
7531-GQHME,12,20.05,Month-to-month,No
5174-ITUMV,67,105.4,One year,No
4109-CYRBD,29,51.6,Month-to-month,No
0913-XWSCN,55,85.5,Month-to-month,No
6825-UYPFK,23,75.6,Month-to-month,Yes
8397-MVTAZ,34,100.05,Month-to-month,Yes
0750-EBAIU,52,91.25,One year,No
8606-CIQUL,72,115.75,Two year,No
3571-DPYUH,58,94.7,One year,No
7601-GNDYK,35,19.6,Two year,No
0356-OBMAC,56,99.9,Two year,No
8067-NIOYM,24,21.1,Two year,No
1403-GYAFU,70,20.05,Two year,No
4234-XTNEA,2,79.95,Month-to-month,No
1297-VQDRP,68,107.15,One year,No
9282-IZGQK,1,85.0,Month-to-month,Yes
5348-CAGXB,12,89.55,Month-to-month,No
0621-HJWXJ,63,81.55,Month-to-month,No
5844-QVTAT,33,58.45,One year,No
8905-IAZPF,69,95.65,One year,No
5394-MEITZ,60,80.6,Two year,No
6859-QNXIQ,72,113.1,Two year,No
2782-LFZVW,11,58.95,Month-to-month,No
2866-IKBTM,1,19.55,Month-to-month,No
1342-JPNKI,10,86.05,Month-to-month,Yes
2817-NTQDO,13,45.55,Month-to-month,Yes
7129-AZJDE,34,78.95,One year,No
6986-IJDHX,39,86.3,Month-to-month,Yes
2560-PPCHE,65,105.05,One year,No
4676-MQUEA,50,101.9,One year,No
8138-EALND,15,19.75,Month-to-month,No
3580-HYCSP,72,110.3,Two year,No
1352-HNSAW,72,115.6,Two year,No
2075-PUEPR,55,19.35,Two year,No
1982-FEBTD,23,25.6,Two year,No
5301-GAUUY,32,80.35,Month-to-month,Yes
5791-KAJFD,56,68.75,One year,No
2654-VBVPB,1,19.9,Month-to-month,No
1154-HYWWO,38,70.6,One year,No
2501-XWWTZ,11,70.2,Month-to-month,No
3716-UVSPD,1,49.3,Month-to-month,No
6815-ABQFQ,56,107.25,One year,No
7343-EOBEU,3,23.6,Month-to-month,No
3701-SFMUH,7,69.7,Month-to-month,No
6103-LIANB,59,99.5,Two year,No
7319-VENRZ,7,64.3,Month-to-month,No
5846-NEQVZ,71,70.85,Two year,No
6967-QIQRV,15,101.9,One year,No
5781-RFZRP,71,73.5,Two year,No
0939-YAPAF,35,100.25,Month-to-month,Yes
0308-IVGOK,11,40.4,One year,No
7293-LSCDV,60,19.25,Two year,No
7025-WCBNE,47,59.6,Two year,No
5756-JYOJT,11,64.9,One year,No
4710-FDUIZ,56,100.3,One year,Yes
6030-REHUX,28,110.85,Month-to-month,No
9548-LIGTA,61,81.05,Two year,No
5150-LJNSR,31,98.05,One year,No
8270-RKSAP,9,70.5,Month-to-month,No
6522-YRBXD,35,94.55,Month-to-month,No
2640-LYMOV,2,19.65,Month-to-month,No
1218-VKFPE,12,19.0,Month-to-month,Yes
3627-FHKBK,1,75.3,Month-to-month,Yes
2865-TCHJW,4,89.2,Month-to-month,Yes
1423-BMPBQ,1,19.0,Month-to-month,No
2393-DIVAI,3,20.0,Month-to-month,No
5192-EBGOV,1,85.7,Month-to-month,Yes
4568-KNYWR,52,63.25,Two year,No
8752-IMQOS,5,20.1,One year,No
0742-LAFQK,72,99.15,Two year,No
0795-LAFGP,71,90.4,Two year,No
0619-OLYUR,72,111.9,Two year,No
5512-IDZEI,46,24.9,One year,No
0459-SPZHJ,63,83.5,Two year,No
0215-BQKGS,30,84.3,Month-to-month,No
9244-ZVAPM,1,45.6,Month-to-month,No
0719-SYFRB,12,61.65,Month-to-month,Yes
8208-EUMTE,16,54.85,Two year,No
5172-MIGPM,4,65.55,Month-to-month,No
1710-RCXUS,51,90.35,One year,No
0374-FIUCA,65,20.4,Two year,No
5839-SUYVZ,16,74.55,Month-to-month,No
5173-ZXXXL,2,19.95,One year,No
1096-ADRUX,66,74.25,One year,No
2001-MCUUW,46,108.65,Two year,No
2731-GJRDG,32,109.55,One year,No
4723-BEGSG,72,86.65,Two year,No
